"Sample_ID","Plant_ID","Flower_ID","Treatment","Flower_Age","Buzz_number","Sex","Inflorescence","Date","Species","Accession","pollen_rem_a","pollen_rem_b","pollen_rem_c","pollen_rem_d","pollen_rem_est","newflowerid"
"e011","10QSJ12-5","2DA","Free",2,1,"hermaphrodite",1,"02/06/2021","S. elaeagnifolium","10-QSJ-12",1033,897,793,755,17390,"10QSJ12-5.2DA.02/06/2021"
"e012","10QSJ12-5","1DA","Free",1,1,"hermaphrodite",1,"02/06/2021","S. elaeagnifolium","10-QSJ-12",157,152,132,149,2950,"10QSJ12-5.1DA.02/06/2021"
"e013","10QSJ12-5","2DA","Free",2,1,"hermaphrodite",2,"02/06/2021","S. elaeagnifolium","10-QSJ-12",613,556,598,587,11770,"10QSJ12-5.2DA.02/06/2021"
"e014","10QSJ12-5","1DA","Joined",1,1,"hermaphrodite",3,"02/06/2021","S. elaeagnifolium","10-QSJ-12",425,467,450,418,8800,"10QSJ12-5.1DA.02/06/2021"
"e015","10QSJ12-5","1DA","Free",1,2,"hermaphrodite",3,"02/06/2021","S. elaeagnifolium","10-QSJ-12",143,169,138,133,2915,"10QSJ12-5.1DA.02/06/2021"
"e016","10QSJ12-5","1DB","Free",1,1,"hermaphrodite",3,"02/06/2021","S. elaeagnifolium","10-QSJ-12",175,200,163,207,3725,"10QSJ12-5.1DB.02/06/2021"
"e017","10QSJ12-5","2DA","Joined",2,2,"hermaphrodite",1,"02/06/2021","S. elaeagnifolium","10-QSJ-12",1154,1088,1010,899,20755,"10QSJ12-5.2DA.02/06/2021"
"e018","10QSJ12-5","1DA","Joined",1,2,"hermaphrodite",1,"02/06/2021","S. elaeagnifolium","10-QSJ-12",256,287,304,347,5970,"10QSJ12-5.1DA.02/06/2021"
"e019","10QSJ12-5","2DA","Joined",2,2,"hermaphrodite",2,"02/06/2021","S. elaeagnifolium","10-QSJ-12",490,682,593,612,11885,"10QSJ12-5.2DA.02/06/2021"
"e020","10QSJ12-5","1DB","Joined",1,2,"hermaphrodite",3,"02/06/2021","S. elaeagnifolium","10-QSJ-12",556,624,610,567,11785,"10QSJ12-5.1DB.02/06/2021"
"e021","10QSJ12-5","1DA","Joined",1,1,"hermaphrodite",1,"04/06/2021","S. elaeagnifolium","10-QSJ-12",478,528,532,478,10080,"10QSJ12-5.1DA.04/06/2021"
"e022","10QSJ12-5","1DA","Free",1,2,"hermaphrodite",1,"04/06/2021","S. elaeagnifolium","10-QSJ-12",297,326,362,326,6555,"10QSJ12-5.1DA.04/06/2021"
"e023","10QSJ12-5","2DA","Joined",2,1,"hermaphrodite",2,"04/06/2021","S. elaeagnifolium","10-QSJ-12",1261,1345,1460,1358,27120,"10QSJ12-5.2DA.04/06/2021"
"e024","10QSJ12-5","2DA","Free",2,2,"hermaphrodite",2,"04/06/2021","S. elaeagnifolium","10-QSJ-12",341,440,375,372,7640,"10QSJ12-5.2DA.04/06/2021"
"e025","10QSJ12-5","1DA","Joined",1,1,"hermaphrodite",2,"04/06/2021","S. elaeagnifolium","10-QSJ-12",1437,1292,1593,1285,28035,"10QSJ12-5.1DA.04/06/2021"
"e026","10QSJ12-5","1DA","Free",1,2,"hermaphrodite",2,"04/06/2021","S. elaeagnifolium","10-QSJ-12",316,170,125,196,4035,"10QSJ12-5.1DA.04/06/2021"
"e027","10QSJ12-5","1DA","Free",1,1,"hermaphrodite",2,"06/06/2021","S. elaeagnifolium","10-QSJ-12",18,19,12,6,275,"10QSJ12-5.1DA.06/06/2021"
"e028","10QSJ12-5","1DA","Joined",1,1,"hermaphrodite",6,"06/06/2021","S. elaeagnifolium","10-QSJ-12",1044,789,989,1101,19615,"10QSJ12-5.1DA.06/06/2021"
"e029","10QSJ12-5","1DA","Free",1,2,"hermaphrodite",6,"06/06/2021","S. elaeagnifolium","10-QSJ-12",214,55,28,59,1780,"10QSJ12-5.1DA.06/06/2021"
"e030","10QSJ12-5","1DA","Joined",1,2,"hermaphrodite",2,"06/06/2021","S. elaeagnifolium","10-QSJ-12",252,221,254,214,4705,"10QSJ12-5.1DA.06/06/2021"
"e031","10QSJ12-5","1DA","Joined",1,1,"hermaphrodite",7,"07/06/2021","S. elaeagnifolium","10-QSJ-12",159,146,141,155,3005,"10QSJ12-5.1DA.07/06/2021"
"e032","10QSJ12-5","1DA","Free",1,2,"hermaphrodite",7,"07/06/2021","S. elaeagnifolium","10-QSJ-12",12,11,13,6,210,"10QSJ12-5.1DA.07/06/2021"
"e033","10QSJ12-5","1DB","Joined",1,1,"hermaphrodite",6,"07/06/2021","S. elaeagnifolium","10-QSJ-12",375,409,380,373,7685,"10QSJ12-5.1DB.07/06/2021"
"e034","10QSJ12-5","1DB","Free",1,2,"hermaphrodite",6,"07/06/2021","S. elaeagnifolium","10-QSJ-12",15,16,15,12,290,"10QSJ12-5.1DB.07/06/2021"
"e035","10QSJ12-5","1DA","Joined",1,1,"hermaphrodite",6,"07/06/2021","S. elaeagnifolium","10-QSJ-12",198,173,194,197,3810,"10QSJ12-5.1DA.07/06/2021"
"e036","10QSJ12-5","1DA","Free",1,2,"hermaphrodite",6,"07/06/2021","S. elaeagnifolium","10-QSJ-12",201,274,231,251,4785,"10QSJ12-5.1DA.07/06/2021"
"e037","10QSJ12-5","1DA","Free",1,1,"hermaphrodite",8,"09/06/2021","S. elaeagnifolium","10-QSJ-12",189,214,195,212,4050,"10QSJ12-5.1DA.09/06/2021"
"e038","10QSJ12-5","1DA","Joined",1,1,"hermaphrodite",9,"09/06/2021","S. elaeagnifolium","10-QSJ-12",537,595,601,569,11510,"10QSJ12-5.1DA.09/06/2021"
"e039","10QSJ12-5","1DA","Free",1,2,"hermaphrodite",9,"09/06/2021","S. elaeagnifolium","10-QSJ-12",105,82,103,83,1865,"10QSJ12-5.1DA.09/06/2021"
"e040","10QSJ12-5","1DA","Joined",1,2,"hermaphrodite",8,"09/06/2021","S. elaeagnifolium","10-QSJ-12",1178,1235,1215,1215,24215,"10QSJ12-5.1DA.09/06/2021"
"e041","10QSJ12-5","1DA","Joined",1,1,"hermaphrodite",8,"11/06/2021","S. elaeagnifolium","10-QSJ-12",896,908,899,1002,18525,"10QSJ12-5.1DA.11/06/2021"
"e042","10QSJ12-5","1DA","Free",1,2,"hermaphrodite",8,"11/06/2021","S. elaeagnifolium","10-QSJ-12",54,47,46,36,915,"10QSJ12-5.1DA.11/06/2021"
"e043","10QSJ12-5","1DA","Free",1,1,"hermaphrodite",9,"11/06/2021","S. elaeagnifolium","10-QSJ-12",207,243,165,222,4185,"10QSJ12-5.1DA.11/06/2021"
"e044","10QSJ12-5","1DA","Joined",1,2,"hermaphrodite",9,"11/06/2021","S. elaeagnifolium","10-QSJ-12",211,174,177,212,3870,"10QSJ12-5.1DA.11/06/2021"
"e045","11s36-6","3DB","Free",3,1,"hermaphrodite",1,"27/06/2021","S. elaeagnifolium","11s36",676,750,655,638,13595,"11s36-6.3DB.27/06/2021"
"e046","11s36-6","1DA","Free",1,1,"hermaphrodite",1,"27/06/2021","S. elaeagnifolium","11s36",152,163,125,161,3005,"11s36-6.1DA.27/06/2021"
"e047","11s36-6","3DA","Joined",3,1,"hermaphrodite",1,"27/06/2021","S. elaeagnifolium","11s36",1051,1116,1089,1016,21360,"11s36-6.3DA.27/06/2021"
"e048","11s36-6","3DA","Free",3,2,"hermaphrodite",1,"27/06/2021","S. elaeagnifolium","11s36",109,79,111,90,1945,"11s36-6.3DA.27/06/2021"
"e049","11s36-6","2DA","Joined",2,1,"hermaphrodite",1,"27/06/2021","S. elaeagnifolium","11s36",770,906,689,792,15785,"11s36-6.2DA.27/06/2021"
"e050","11s36-6","2DA","Free",2,2,"hermaphrodite",1,"27/06/2021","S. elaeagnifolium","11s36",141,192,153,155,3205,"11s36-6.2DA.27/06/2021"
"e051","11s36-6","3DB","Joined",3,2,"hermaphrodite",1,"27/06/2021","S. elaeagnifolium","11s36",979,1015,1013,1016,20115,"11s36-6.3DB.27/06/2021"
"e052","11s36-6","1DA","Joined",1,2,"hermaphrodite",1,"27/06/2021","S. elaeagnifolium","11s36",1682,1731,1617,1633,33315,"11s36-6.1DA.27/06/2021"
"e053","11s36-10","2DA","Free",2,1,"hermaphrodite",1,"29/06/2021","S. elaeagnifolium","11s36",324,335,312,333,6520,"11s36-10.2DA.29/06/2021"
"e054","11s36-4","3DA","Free",3,1,"hermaphrodite",1,"29/06/2021","S. elaeagnifolium","11s36",162,164,170,178,3370,"11s36-4.3DA.29/06/2021"
"e055","11s36-4","3DB","Free",3,1,"hermaphrodite",1,"29/06/2021","S. elaeagnifolium","11s36",168,116,124,134,2710,"11s36-4.3DB.29/06/2021"
"e056","11s36-4","1DA","Free",1,1,"hermaphrodite",1,"29/06/2021","S. elaeagnifolium","11s36",136,174,155,116,2905,"11s36-4.1DA.29/06/2021"
"e057","11s36-10","2DB","Joined",2,1,"staminate",1,"29/06/2021","S. elaeagnifolium","11s36",568,475,532,636,11055,"11s36-10.2DB.29/06/2021"
"e058","11s36-10","2DB","Free",2,2,"staminate",1,"29/06/2021","S. elaeagnifolium","11s36",517,548,610,551,11130,"11s36-10.2DB.29/06/2021"
"e059","11s36-6","1DA","Joined",1,1,"hermaphrodite",1,"29/06/2021","S. elaeagnifolium","11s36",518,503,493,501,10075,"11s36-6.1DA.29/06/2021"
"e060","11s36-6","1DA","Free",1,2,"hermaphrodite",1,"29/06/2021","S. elaeagnifolium","11s36",130,156,141,147,2870,"11s36-6.1DA.29/06/2021"
"e062","11s36-4","3DA","Joined",3,2,"hermaphrodite",1,"29/06/2021","S. elaeagnifolium","11s36",51,51,56,47,1025,"11s36-4.3DA.29/06/2021"
"e063","11s36-4","3DB","Joined",3,2,"hermaphrodite",1,"29/06/2021","S. elaeagnifolium","11s36",495,461,477,447,9400,"11s36-4.3DB.29/06/2021"
"e064","11s36-4","1DA","Joined",1,2,"hermaphrodite",1,"29/06/2021","S. elaeagnifolium","11s36",788,701,684,782,14775,"11s36-4.1DA.29/06/2021"
"p001","1179F-20","1DA","Free",1,1,"staminate",1,"06/06/2021","S. pyracanthos","1179F",646,599,637,588,12350,"1179F-20.1DA.06/06/2021"
"p002","1179F-20","1DA","Joined",1,2,"staminate",1,"06/06/2021","S. pyracanthos","1179F",326,329,398,368,7105,"1179F-20.1DA.06/06/2021"
"p003","1179F-20","1DA","Free",1,1,"staminate",1,"07/06/2021","S. pyracanthos","1179F",242,270,240,180,4660,"1179F-20.1DA.07/06/2021"
"p004","1179F-20","1DB","Joined",1,1,"staminate",1,"07/06/2021","S. pyracanthos","1179F",620,546,527,586,11395,"1179F-20.1DB.07/06/2021"
"p005","1179F-20","1DB","Free",1,2,"staminate",1,"07/06/2021","S. pyracanthos","1179F",35,39,31,32,685,"1179F-20.1DB.07/06/2021"
"p006","1179F-20","1DA","Joined",1,2,"staminate",1,"07/06/2021","S. pyracanthos","1179F",1319,1686,1892,1646,32715,"1179F-20.1DA.07/06/2021"
"p007","1179F-16","1DA","Free",1,1,"staminate",1,"09/06/2021","S. pyracanthos","1179F",136,145,152,133,2830,"1179F-16.1DA.09/06/2021"
"p008","1179F-16","1DA","Joined",1,2,"staminate",1,"09/06/2021","S. pyracanthos","1179F",116,205,181,195,3485,"1179F-16.1DA.09/06/2021"
"p009","1179F-20","1DA","Free",1,1,"hermaphrodite",1,"11/06/2021","S. pyracanthos","1179F",386,430,394,356,7830,"1179F-20.1DA.11/06/2021"
"p010","1179F-20","2DA","Free",2,1,"hermaphrodite",1,"11/06/2021","S. pyracanthos","1179F",855,840,719,830,16220,"1179F-20.2DA.11/06/2021"
"p011","1179F-16","1DA","Joined",1,1,"staminate",1,"11/06/2021","S. pyracanthos","1179F",392,409,384,391,7880,"1179F-16.1DA.11/06/2021"
"p012","1179F-16","1DA","Free",1,2,"staminate",1,"11/06/2021","S. pyracanthos","1179F",737,667,645,675,13620,"1179F-16.1DA.11/06/2021"
"p013","1179F-19","1DA","Joined",1,1,"staminate",1,"11/06/2021","S. pyracanthos","1179F",114,144,114,140,2560,"1179F-19.1DA.11/06/2021"
"p014","1179F-19","1DA","Free",1,2,"staminate",1,"11/06/2021","S. pyracanthos","1179F",563,533,537,567,11000,"1179F-19.1DA.11/06/2021"
"p015","1179F-20","1DA","Joined",1,2,"hermaphrodite",1,"11/06/2021","S. pyracanthos","1179F",1164,1213,1302,1146,24125,"1179F-20.1DA.11/06/2021"
"p016","1179F-20","2DA","Joined",2,2,"hermaphrodite",1,"11/06/2021","S. pyracanthos","1179F",113,109,100,124,2230,"1179F-20.2DA.11/06/2021"
"p017","1179F-20","1DA","Free",1,1,"staminate",1,"13/06/2021","S. pyracanthos","1179F",131,172,165,162,3150,"1179F-20.1DA.13/06/2021"
"p018","1179F-20","1DA","Free",1,1,"hermaphrodite",2,"13/06/2021","S. pyracanthos","1179F",249,238,245,226,4790,"1179F-20.1DA.13/06/2021"
"p019","1179F-20","1DC","Free",1,1,"staminate",2,"13/06/2021","S. pyracanthos","1179F",312,337,333,263,6225,"1179F-20.1DC.13/06/2021"
"p020","1179F-16","2DA","Free",2,1,"staminate",1,"13/06/2021","S. pyracanthos","1179F",377,342,346,301,6830,"1179F-16.2DA.13/06/2021"
"p021","1179F-16","1DA","Free",1,1,"staminate",1,"13/06/2021","S. pyracanthos","1179F",960,964,975,988,19435,"1179F-16.1DA.13/06/2021"
"p022","1179F-19","1DA","Free",1,1,"hermaphrodite",2,"13/06/2021","S. pyracanthos","1179F",605,579,514,630,11640,"1179F-19.1DA.13/06/2021"
"p023","1179F-20","2DA","Joined",2,1,"staminate",1,"13/06/2021","S. pyracanthos","1179F",796,651,633,694,13870,"1179F-20.2DA.13/06/2021"
"p024","1179F-20","2DA","Free",2,2,"staminate",1,"13/06/2021","S. pyracanthos","1179F",2524,2724,2413,2310,49855,"1179F-20.2DA.13/06/2021"
"p025","1179F-20","1DB","Joined",1,1,"staminate",2,"13/06/2021","S. pyracanthos","1179F",352,350,377,394,7365,"1179F-20.1DB.13/06/2021"
"p026","1179F-20","1DB","Free",1,2,"staminate",2,"13/06/2021","S. pyracanthos","1179F",110,76,124,116,2130,"1179F-20.1DB.13/06/2021"
"p027","1179F-19","1DA","Joined",1,1,"staminate",1,"13/06/2021","S. pyracanthos","1179F",162,166,147,171,3230,"1179F-19.1DA.13/06/2021"
"p028","1179F-19","1DA","Free",1,2,"staminate",1,"13/06/2021","S. pyracanthos","1179F",277,228,217,201,4615,"1179F-19.1DA.13/06/2021"
"p029","1179F-19","1DB","Joined",1,1,"staminate",1,"13/06/2021","S. pyracanthos","1179F",216,234,221,248,4595,"1179F-19.1DB.13/06/2021"
"p030","1179F-19","1DB","Free",1,2,"staminate",1,"13/06/2021","S. pyracanthos","1179F",711,734,695,634,13870,"1179F-19.1DB.13/06/2021"
"p031","1179F-19","1DA","Joined",1,2,"hermaphrodite",2,"13/06/2021","S. pyracanthos","1179F",41,43,43,46,865,"1179F-19.1DA.13/06/2021"
"p032","1179F-20","1DA","Joined",1,2,"staminate",1,"13/06/2021","S. pyracanthos","1179F",377,394,377,414,7810,"1179F-20.1DA.13/06/2021"
"p033","1179F-20","1DC","Joined",1,2,"staminate",2,"13/06/2021","S. pyracanthos","1179F",146,140,146,151,2915,"1179F-20.1DC.13/06/2021"
"p034","1179F-16","2DA","Joined",2,2,"staminate",1,"13/06/2021","S. pyracanthos","1179F",43,32,32,21,640,"1179F-16.2DA.13/06/2021"
"p035","1179F-16","1DA","Joined",1,2,"staminate",1,"13/06/2021","S. pyracanthos","1179F",558,485,506,453,10010,"1179F-16.1DA.13/06/2021"
"p036","1179F-20","1DA","Joined",1,2,"hermaphrodite",2,"13/06/2021","S. pyracanthos","1179F",91,145,131,139,2530,"1179F-20.1DA.13/06/2021"
"p037","1179F-12","2DA","Free",2,1,"hermaphrodite",1,"15/06/2021","S. pyracanthos","1179F",537,583,556,519,10975,"1179F-12.2DA.15/06/2021"
"p038","1179F-7","2DA","Free",2,1,"hermaphrodite",1,"15/06/2021","S. pyracanthos","1179F",702,828,718,602,14250,"1179F-7.2DA.15/06/2021"
"p039","1179F-20","1DA","Joined",1,1,"staminate",1,"15/06/2021","S. pyracanthos","1179F",1775,1720,1689,1624,34040,"1179F-20.1DA.15/06/2021"
"p040","1179F-20","1DA","Free",1,2,"staminate",1,"15/06/2021","S. pyracanthos","1179F",346,377,329,299,6755,"1179F-20.1DA.15/06/2021"
"p041","1179F-20","1DA","Free",1,1,"staminate",2,"15/06/2021","S. pyracanthos","1179F",941,1045,1028,996,20050,"1179F-20.1DA.15/06/2021"
"p042","1179F-20","1DB","Joined",1,1,"staminate",2,"15/06/2021","S. pyracanthos","1179F",410,505,563,487,9825,"1179F-20.1DB.15/06/2021"
"p043","1179F-20","1DB","Free",1,2,"staminate",2,"15/06/2021","S. pyracanthos","1179F",696,513,679,619,12535,"1179F-20.1DB.15/06/2021"
"p044","1179F-19","1DA","Free",1,1,"staminate",1,"15/06/2021","S. pyracanthos","1179F",358,489,456,499,9010,"1179F-19.1DA.15/06/2021"
"p045","1179F-19","1DA","Free",1,1,"hermaphrodite",2,"15/06/2021","S. pyracanthos","1179F",835,900,765,795,16475,"1179F-19.1DA.15/06/2021"
"p046","1179F-19","2DA","Joined",2,1,"hermaphrodite",3,"15/06/2021","S. pyracanthos","1179F",494,538,518,488,10190,"1179F-19.2DA.15/06/2021"
"p047","1179F-19","2DA","Free",2,2,"hermaphrodite",3,"15/06/2021","S. pyracanthos","1179F",109,130,111,112,2310,"1179F-19.2DA.15/06/2021"
"p048","1179F-19","1DA","Free",1,1,"staminate",3,"15/06/2021","S. pyracanthos","1179F",242,226,212,192,4360,"1179F-19.1DA.15/06/2021"
"p049","1179F-7","2DA","Joined",2,2,"hermaphrodite",1,"15/06/2021","S. pyracanthos","1179F",82,90,102,113,1935,"1179F-7.2DA.15/06/2021"
"p050","1179F-7","1DA","Joined",1,1,"hermaphrodite",1,"15/06/2021","S. pyracanthos","1179F",163,174,138,162,3185,"1179F-7.1DA.15/06/2021"
"p051","1179F-7","1DA","Free",1,2,"hermaphrodite",1,"15/06/2021","S. pyracanthos","1179F",536,504,593,677,11550,"1179F-7.1DA.15/06/2021"
"p052","1179F-12","2DA","Joined",2,2,"hermaphrodite",1,"15/06/2021","S. pyracanthos","1179F",1208,1180,1033,1139,22800,"1179F-12.2DA.15/06/2021"
"p053","1179F-20","1DA","Joined",1,2,"staminate",2,"15/06/2021","S. pyracanthos","1179F",482,421,469,304,8380,"1179F-20.1DA.15/06/2021"
"p054","1179F-19","1DA","Joined",1,2,"staminate",1,"15/06/2021","S. pyracanthos","1179F",93,77,73,100,1715,"1179F-19.1DA.15/06/2021"
"p055","1179F-19","1DA","Joined",1,2,"hermaphrodite",2,"15/06/2021","S. pyracanthos","1179F",279,281,250,234,5220,"1179F-19.1DA.15/06/2021"
"p056","1179F-19","1DA","Joined",1,2,"staminate",3,"15/06/2021","S. pyracanthos","1179F",104,75,81,88,1740,"1179F-19.1DA.15/06/2021"
"p057","1179F-12","1DA","Free",1,1,"staminate",1,"17/06/2021","S. pyracanthos","1179F",485,583,513,511,10460,"1179F-12.1DA.17/06/2021"
"p058","1179F-20","2DA","Free",2,1,"staminate",1,"17/06/2021","S. pyracanthos","1179F",949,959,980,931,19095,"1179F-20.2DA.17/06/2021"
"p059","1179F-20","2DA","Joined",2,1,"staminate",2,"17/06/2021","S. pyracanthos","1179F",744,1021,900,893,17790,"1179F-20.2DA.17/06/2021"
"p060","1179F-20","2DA","Free",2,2,"staminate",2,"17/06/2021","S. pyracanthos","1179F",904,1040,985,897,19130,"1179F-20.2DA.17/06/2021"
"p061","1179F-19","2DA","Joined",2,1,"staminate",1,"17/06/2021","S. pyracanthos","1179F",639,651,658,594,12710,"1179F-19.2DA.17/06/2021"
"p062","1179F-19","2DA","Free",2,2,"staminate",1,"17/06/2021","S. pyracanthos","1179F",51,52,37,54,970,"1179F-19.2DA.17/06/2021"
"p063","1179F-19","2DB","Free",2,1,"staminate",1,"17/06/2021","S. pyracanthos","1179F",66,62,57,64,1245,"1179F-19.2DB.17/06/2021"
"p064","1179F-19","2DA","Joined",2,1,"staminate",2,"17/06/2021","S. pyracanthos","1179F",1016,1199,1017,919,20755,"1179F-19.2DA.17/06/2021"
"p065","1179F-19","2DA","Free",2,2,"staminate",2,"17/06/2021","S. pyracanthos","1179F",658,961,928,949,17480,"1179F-19.2DA.17/06/2021"
"p066","1179F-19","1DA","Free",1,1,"staminate",2,"17/06/2021","S. pyracanthos","1179F",827,691,753,784,15275,"1179F-19.1DA.17/06/2021"
"p067","1179F-12","1DA","Joined",1,2,"staminate",1,"17/06/2021","S. pyracanthos","1179F",56,56,55,47,1070,"1179F-12.1DA.17/06/2021"
"p068","1179F-20","2DA","Joined",2,2,"staminate",1,"17/06/2021","S. pyracanthos","1179F",602,536,555,558,11255,"1179F-20.2DA.17/06/2021"
"p069","1179F-19","2DB","Joined",2,2,"staminate",1,"17/06/2021","S. pyracanthos","1179F",59,78,59,83,1395,"1179F-19.2DB.17/06/2021"
"p070","1179F-19","1DA","Joined",1,2,"staminate",2,"17/06/2021","S. pyracanthos","1179F",53,50,50,52,1025,"1179F-19.1DA.17/06/2021"
